,FILE_NAME,JOB_CLASS_TITLE,JOB_CLASS_NO,REQUIREMENT_SET_ID,REQUIREMENT_SUBSET_ID,JOB_DUTIES,EDUCATION_YEARS,SCHOOL_TYPE,EDUCATION_MAJOR,EXPERIENCE_LENGTH,FULL_TIME_PART_TIME,EXP_JOB_CLASS_TITLE,EXP_JOB_CLASS_FUNCTION,COURSE_COUNT,COURSE_LENGHT,COURSE_SUBJECT,DRIVERS_LICENSE_REQ,DRIV_LIC_TYPE,EXAM_TYPE,ENTRY_SALARY_GEN,ENTRY_SALARY_DWP,OPEN_DATE
282,PRINCIPAL UTILITY ACCOUNTANT 1589 030218 updated.txt,PRINCIPAL UTILITY ACCOUNTANT,1589,0,,"  A Principal Utility Accountant plans, directs, and coordinates the work of a division or major section engaged in accounting, financial, and/or auditing activities of the Department of Water and Power and Joint Power Agencies; or may act in the absence of the Auditor (Chief Financial Officer), and assist in administering the financial activities of the Department of Water and Power; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",0,, ,2,full-time,Senior Utility Accountant,, ,   ,,P, ,OPEN_INT_PROM,136012,-1,2018-03-02
283,COMMERCIAL FIELD SUPERVISOR 1603 121616.txt,COMMERCIAL FIELD SUPERVISOR ,1603,2,,"  A Commercial Field Supervisor assigns, reviews, and evaluates the work of a group of employees engaged in field activities including meter reading, bill collection, turning on and off of water and electrical services, inspection and investigation of water and electrical services, investigation of theft of water and electric services, or employee training and quality assurance activities; applies sound supervisory principles and techniques in building and maintaining an effective work force; interacts with customers in an effort to resolve complex issues; promotes, develops, and enforces safe work practices; and fulfills equal employment opportunity responsibilities.",0,, ,2,full-time,Senior Commercial Field Representative,, ,   ,,R, ,OPEN_INT_PROM,96454,-1,2016-12-16
284,POLICE OFFICER 2214 110906 Rev 060115.txt,POLICE OFFICER,2214,3,,"  As a sworn member of the Los Angeles Police Department, a Police Officer maintains order, enforces laws and ordinances, and protects life and property; issues citations, makes arrests, prepares reports, and provides information to the public and departmental units; works with neighborhood associations and community members as a planner, community organizer, problem solver and information link; and does related work.",0,"high school, college", ,0,,,, ,   ,,NoR, ,OPEN,72924,-1,2006-11-09
285,WATER MICROBIOLOGIST  7857 072514 rev073114.txt,WATER MICROBIOLOGIST,7857,2,,"  A Water Microbiologist uses a variety of microbiological and molecular methods and techniques in performing various analysis, tests, and special studies of microbial activities in aquatic environments; prepares reports and recommendations on the impact of such activity on water quality and/or public health; researches and develops emerging technologies in analyzing bacteria, protozoa, viruses and other microorganisms; prepares compliance reports to State and Federal regulatory agencies; participates in Laboratory Information Management System (LIMS) activities; participates in field investigations related to microbiological issues; attends and participates in various agency meetings; and may direct activities of professional and technical staff. ",4,"university, college", ,0,,,,1,#Q 36 #S 24,,P, ,OPEN,71368,83968,2014-07-25
286,COMMUNICATIONS ELECTRICIAN 3686 052518.txt,COMMUNICATIONS ELECTRICIAN,3686,2,AB,"  A Communications Electrician does skilled work in the maintenance, repair, installation, configuration and programming of communications systems and equipment such as microwave radio, conventional and trunking two-way radio, VoIP telephony, SONET, SCADA, data networks, radio communications transmitters/receivers and systems, PBX telephone switches, multiplexing, audio and video, CCTV and CAD.",0,"university, college", ,4,full-time,,|maintenance| repair| and installation of any of a wide variety of electronics and communications systems including video| conventional and trunking two-way radio| microwave radio| telephone systems| monitoring systems| public address| data networks| video and access systems including programming| configuration or troubleshooting of communications systems; or|Requirement #1| and, ,   ,,P, ,OPEN,90645,97540,2018-05-25
287,TREE SURGEON SUPERVISOR 3117 030317.txt,TREE SURGEON SUPERVISOR,3117,2,,"  A Tree Surgeon Supervisor assigns, reviews and evaluates the work of a number of small crews or supervises a crew engaged in tree trimming activities for a department or in an area of the City; or assists a Street Tree Superintendent by directing and coordinating street tree trimming activities in a major section of the City; or inspects trees to ensure street trees are trimmed in compliance with Los Angeles Municipal Code requirements; or inspects overhead electrical facilities and lines to determine tree interference and prepares the related reports; applies sound supervisory principles and techniques in building and maintaining an effective work force and fulfills equal employment opportunity responsibilities.",0,, ,3,full-time,Tree Surgeon,|a position at the level of a Tree Surgeon performing duties which includes climbing trees| using climbers| ropes and safety belts and using power saws| aerial lifts| power winches| booms or similar equipment., ,   ,,R,B,OPEN_INT_PROM,71732,71732,2017-03-03
288,CHIEF HARBOR ENGINEER 9286 112015.txt,CHIEF HARBOR ENGINEER,9286,0,,"  A Chief Harbor Engineer directs and administers either the Engineering or Construction Division in the engineering planning, design, project management, survey, construction inspection, contract administration, and materials testing activities relating to marine terminal and other facilities which may be constructed and maintained by the Los Angeles Harbor Department; manages and oversees the Department's Capital Improvement and Maintenance Improvement budget; formulates and manages written design procedures and guidelines to ensure that the latest local, state, and federal requirements are maintained; represents the Department at port associations and public meetings, both locally and nationally, community meetings, and other functions where the Port needs to be represented; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",0,, ,2,full-time,Harbor Engineer,, ,   ,,P, ,OPEN_INT_PROM,171226,-1,2015-11-20
289,VOLUNTEER COORDINATOR 2495 030218.txt,VOLUNTEER COORDINATOR,2495,3,,"  A Volunteer Coordinator plans, develops, and coordinates volunteer programs for a City department, including the development of job descriptions, recruitment strategies and volunteer training programs; trains permanent staff in methods of using volunteers; and designs and implements policies and procedures for a department's volunteer program.",0,"university, college", ,2,full-time,,, ,   ,,P, ,OPEN,71608,-1,2018-03-02
290,AIRPORT POLICE SPECIALIST 3236 063017 (2).txt,AIRPORT POLICE SPECIALIST,3236,3,,"  As a sworn member of the Los Angeles World Airports (LAWA) Airport Police Division, an Airport Police Specialist is responsible for enforcement of activities on Airport property including, but not limited to enforcement of State and Federal laws, City of Los Angeles ordinances, security, traffic, aviation and safety rules and regulations.  Incumbents in this class make arrests, apprehend and/or assist other law enforcement agencies with apprehending law violators; issue parking and/or traffic citations; respond to radio calls for police assistance at various screening stations and other locations within the airport jurisdictions. ",0,, ,0,,,, ,   ,,NoR, ,OPEN,-1,-1,2017-06-30
291,LICENSED VOCATIONAL NURSE  2332 042415.txt,LICENSED VOCATIONAL NURSE ,2332,3,,"  Under general supervision, assists physicians, registered nurses and other health specialists in performing patient care activities, such as obtaining vital signs, and performing diagnostic testing; and performs related duties as required.",0,, ,0,,,, ,   ,,R, ,OPEN,52481,-1,2015-04-24
292,AIRPORT MANAGER 7260 120216.txt,AIRPORT MANAGER,7260,2,,"  An Airport Manager manages, through subordinate supervisors, the landside transportation, air side operations, construction project management, and maintenance activities at a commercial or general aviation airport; coordinates with law enforcement to maintain security of airport property, buildings, facilities, and airfield; participates in planning and coordinating the use of airport facilities by airport tenants and other concerned organizations; may direct the public and community relations activities at the outlying airport; fulfills Equal Employment Opportunity responsibilities; and applies sound supervisory principles and techniques in building and maintaining an effective work force.",0,, ,2,full-time,Chief Operations,| second-level supervisor with responsibility for the operations or maintenance of a medium or large hub commercial airport (as defined by the Federal Aviation Administration)., ,   ,,P, ,OPEN_INT_PROM,120352,-1,2016-12-02
293,UTILITY BUYER 1861 090718.txt,UTILITY BUYER,1861,0,,"  A Utility Buyer purchases a variety of supplies, equipment, services, and materials for use in the Department of Water and Power; performs professional staff work by analyzing bids and making awards based on the lowest ultimate cost to the Department of Water and Power; and does related work.",0,"university, college", ,1,full-time,,|a class at the level of Management Assistant or Assistant Utility Buyer| which provides experience in preparing solicitations and administering contracts for services or the purchase of industrial commodities for use and not resale| preparing specifications| analyzing bids| conferring with vendors| and making recommendations for awards of contracts., ,   ,,R, ,OPEN_INT_PROM,93458,-1,2018-09-07
294,ELECTRICAL MECHANIC 3841 012017.txt,ELECTRICAL MECHANIC,3841,7,,"  An Electrical Mechanic performs skilled mechanical and electrical work in the installation and maintenance of high and low voltage electrical circuits and related equipment at electrical stations and plants such as electrical substations; receiving, distributing, and customer stations; steam generating stations; water pumping and chlorinating stations; converter stations; hydro-electric plants; high voltage switching stations; and similar facilities and buildings; and performs other related duties. Electrical Mechanics may work at heights of up to 280 feet, near hazardous materials, and in confined spaces.",0,"college, apprenticeship",|the maintenance or construction of electrical systems; or  |the maintenance or construction of electrical systems while in the United States Armed Forces; or,6,full-time,,|the maintenance or construction of electrical systems; or  |the maintenance or construction of electrical systems while in the United States Armed Forces; or, ,   ,,R, ,DEPT_PROM,84584,-1,2017-01-20
295,PERSONNEL DIRECTOR 1714 050418.txt,PERSONNEL DIRECTOR,1714,0,,"  A Personnel Director directs, develops, implements, and manages a comprehensive human resources program including support programs, policies, procedures, and systems which ensure compliance with local, state, and federal laws; advises department management or the appointing authority on personnel and related matters, and manages the organizational unit responsible for personnel functions in a City department; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",0,"university, college", ,2,full-time,,| Senior Personnel Analyst II or in a position at that level| in a centralized staff agency or operating department personnel office., ,   ,,P, ,OPEN_INT_PROM,135688,-1,2018-05-04
296,STEAM PLANT MAINTENANCE SUPERVISOR 3786 033117.txt,STEAM PLANT MAINTENANCE SUPERVISOR,3786,0,,"  A Steam Plant Maintenance Supervisor assigns, reviews, and evaluates the work of a crew of journey-level employees and helpers engaged in the maintenance and repair of the electrical and mechanical equipment and the buildings of a steam-electric generating station and related facilities; or supervises several supervisors and their crews doing this type of work in a maintenance section; applies sound supervisory principles and techniques, including equal employment opportunity responsibilities, in building and maintaining an effective workforce.",0,, ,4,full-time,Steam Plant Maintenance Mechanic,, ,   ,,R, ,OPEN_INT_PROM,118796,-1,2017-03-31
297,COMMUNICATIONS ENGINEERING ASSOCIATE 7607 081018.txt,COMMUNICATIONS ENGINEERING ASSOCIATE,7607,2,,"  A Communications Engineering Associate performs professional communications engineering work in the preparation of plans, designs, specifications, estimates, studies, reports, and cost and service analyses for the City's communications systems; gives technical direction in the construction, installation, maintenance, and operation of Local Area Network (LAN), Wide Area Network (WAN), other communications systems and equipment such as security systems, IT cable infrastructure, radio, audio/video, telephone, microwave; and does related work.",4,"university, college"," engineering, which includes at least 24 semester units or 36 quarter units of communications engineering or electrical engineering courses",0,,,, ,   ,,P, ,OPEN,81536,-1,2018-08-10
298,EQUIPMENT MECHANIC 3711 051818.txt,ANNUAL SALARY,3711,4,,  An Equipment Mechanic does skilled mechanical work in the maintenance and repair of automotive transportation equipment and inspects such equipment to determine needed repairs.,0,"university, college, apprenticeship",|automotive mechanic work; or|automotive mechanic work.,4,full-time,,|automotive mechanic work; or|automotive mechanic work., ,   ,,R,C,OPEN_INT_PROM,79824,91350,2018-05-18
299,FIRE BATTALION CHIEF 2152 030918.txt,FIRE BATTALION CHIEF,2152,3,,,4,"university, college", ,4,full-time,,| Fire Captain in the Los Angeles Fire Department by October 28| 2018. Under the policy of rounding experience to the nearest full month| continuous service beginning on or before November 11| 2014 meets the requirement| and an Associate's Degree from an accredited college or university or possession of a California State Fire Training (CSFT) Chief Fire Officer certificate or CSFT Chief Officer certificate; or, ,   ,,NoR, ,DEPT_PROM,158854,-1,2018-03-09
300,INDUSTRIAL HYGIENIST 2330 012618.txt,INDUSTRIAL HYGIENIST,2330,2,,"  An Industrial Hygienist plans, develops, and implements an Industrial Hygiene and Health and Safety Training Program to minimize risk of employee exposure to hazardous chemical and physical stressors in the work environment; identifies significant workplace health hazards, evaluates the risk of injury or illness, and recommends corrective actions; develops policies consistent with State and Federal occupational health and safety laws and advises management regarding solutions to health and safety in the work environment;  and assists in implementation of those solutions.",4,"university, college", ,4,full-time,,|ir contamination| noise and radiation| and their effect on employees., ,   ,,R, ,OPEN,105746,94294,2018-01-26
301,PAYROLL SUPERVISOR 1170 102618.txt,PAYROLL SUPERVISOR,1170,0,,"  A Payroll Supervisor assigns, reviews, and evaluates the work of employees engaged in payroll preparation; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",0,, ,2,full-time,,|a class at the level of Senior Clerk including at least one year of experience in the preparation| processing| and maintenance of payroll documents| records| and reports., ,   ,,NoR, ,OPEN_INT_PROM,78268,-1,2018-10-26
302,BOILERMAKER SUPERVISOR 3737 101714.txt,BOILERMAKER SUPERVISOR,3737,2,,"  A Boilermaker Supervisor plans, assigns, and reviews the work of employees performing skilled work in fabrication, construction, assembly, installation, repair and maintenance of pressure vessels, penstocks, tanks, ducts, boilers, heat exchangers, and other auxiliary equipment; applies sound supervisory principles and techniques, and fulfills Equal Employment Opportunity (EEO) responsibilities and requirements.",0,, ,4,full-time,,| journey-level boilermaker engaged in the assembly| installation| repair and maintenance of boilers and pressure vessels made of steel plate; or| journey-level welder certified under ASME Boiler and Pressure Vessel Code Section IX engaged in the assembly| repair and maintenance of boilers and pressure vessels made of steel plate., ,   ,,R, ,OPEN_INT_PROM,98678,-1,2014-10-17
303,POLICE SPECIALIST 2217 110906 Rev 060115.txt,POLICE SPECIALIST,2217,2,,"  As a sworn member of the Los Angeles Police Department, a Police Specialist maintains order, enforces laws and ordinances, and protects life and property; issues citations, makes arrests, prepares reports, and provides information to the public and departmental units; works with neighborhood associations and community members as a planner, community organizer, problem solver and information link; and does related work.",0,, ,0,,,, ,   ,,NoR, ,OPEN,72924,-1,2006-11-09
304,ELECTRICAL REPAIRER 3853 122917 updated.txt,ELECTRICAL REPAIRER,3853,7,,"  An entry-level Electrical Repairer works as a trainee under close supervision of journey-level workers in both the shop and the field in the maintenance, overhauling, dismantling, repairing, rebuilding, rewinding, cleaning, reassembling, and installing of electrical equipment and components within the Water and Power systems. Trainees receive extensive classroom training as well as on the job training.  A journey-level Electrical Repairer performs a variety of skilled electrical rewinding, repairing, rebuilding, assembling, troubleshooting, maintenance and rigging work in the shop and field; and may lead a group of employees performing electrical repair work in shop and field locations. ",0,college, ,6,full-time,Electrical Craft Helper,|the maintenance or constructions of electrical systems while in the United States Armed Forces; or| Construction Electrical Mechanic or Construction Electrical Helper at LADWP performing electrical work on equipment and circuits in the construction| maintenance| or repair of electrical systems; or|the maintenance| construction, ,   ,,R, ,OPEN_INT_PROM,-1,84950,2017-12-29
305,SENIOR ELECTRICAL MECHANIC SUPERVISOR 3836 080417.txt,SENIOR ELECTRICAL MECHANIC SUPERVISOR ,3836,0,,"  A Senior Electrical Mechanic Supervisor plans, organizes, directs and coordinates the work of several Electrical Mechanic Supervisors and their crews engaged in the installation and maintenance of a large variety of electric equipment; may act as an assistant to an Electrical Services Manager; applies sound supervisory principles and techniques in building and maintaining a safe and effective work force; and fulfills equal employment opportunity responsibilities.",0,, ,2,full-time,Electrical Mechanic Supervisor,, ,   ,,R, ,OPEN_INT_PROM,128641,-1,2017-08-04
306,GARAGE ATTENDANT 3531 013015.txt,GARAGE ATTENDANT,3531,0,,"  A Garage Attendant does general servicing and lubricating of cars, trucks and motorcycles; shuttling of passengers; parking cars; washing and waxing; may make minor repairs to vehicles; assists equipment mechanics by removing and replacing defective radiators, hoses, fan belts, and batteries; replaces tires on cars and trucks in the shop and in the field; may operate a light to heavy duty tow truck; may make minor repairs to vehicles; may install or remove various interior and exterior vehicle equipment; and may perform other non-skilled tasks as required and does other non-skilled tasks. Apprenticeships in various automotive crafts are available in some Garage Attendant positions.",0,, ,1,,,, ,   ,,R,B,OPEN,44589,55697,2015-01-30
307,PRINCIPAL PHOTOGRAPHER 1794 040116.txt,PRINCIPAL PHOTOGRAPHER,1794,2,,"  A Principal Photographer directs and supervises the administration and operations of a photographic unit involved in either the production of videotape materials, including crime scenes, unusual occurrences and other unlawful occurrences throughout the City; or in both conventional photography and electronic imaging, and in processing and printing digital and/or color and black and white still photographs; establishes and administers training programs; applies sound supervisory principles and techniques in building and maintaining an effective work force; fulfills equal employment opportunity responsibilities; and does related work.",0,, ,1,full-time,Senior Photographer,|the production of videotape materials| or taking black and white and color still and motion pictures| two years of which must have been spent supervising work in a studio engaged in the production of videotape material| or in a large photo laboratory engaged in developing and processing black and white and color still photographs., ,   ,,P, ,OPEN_INT_PROM,92738,-1,2016-04-01
308,SENIOR ELECTRICIAN  3864 102116 Rev 110216.txt,SENIOR ELECTRICIAN,3864,0,,"  A Senior Electrician acts as a lead for and works with a crew of Electricians and helpers engaged in general electrical installation, maintenance, and repair work including motors and lighting, intercom, sound and surveillance systems; keeps records and makes reports.",0,, ,2,full-time,,| journey-level electrician., ,   ,,P, ,OPEN_INT_PROM,94920,-1,2016-10-21
309,STOREKEEPER 1835 051118.txt,STOREKEEPER,1835,2,,"  A Storekeeper assigns, reviews and evaluates the work of a small group of employees engaged in ordering, receiving, inspecting, storing, issuing, securing and accounting for materials, supplies, automotive parts, records, tools and equipment and performs related minor repair and assembly work; applies sound supervisory principles and techniques in building and maintaining an effective work force and fulfills equal employment opportunity responsibilities.",0,, ,2,full-time,Warehouse Toolroom Worker,|a class at the level of Warehouse and Toolroom Worker which includes all of the following activities:  ordering| receiving| inspecting| storing| issuing| securing and accounting for each of the following categories:  materials| supplies| tools| and equipment.  , ,   ,,P, ,OPEN_INT_PROM,55770,62274,2018-05-11
310,UTILITIES SERVICE INVESTIGATOR 1631 101615 (1).txt,UTILITIES SERVICE INVESTIGATOR,1631,3,,"  A Utilities Service Investigator (USI) works under general supervision to determine and secure evidence of any criminal or civil incident involving Department of Water and Power property and facilities; conducts internal investigations of matters that potentially involve violation of City or Department policy, or state laws which may involve criminal misconduct by Department employees; prepares investigative strategies and methods of inquiry for various incidents; conducts interviews related to incidents; examines and investigates allegations of fraud and conflicts of interest; prepares detailed, complete investigative written reports; provides comprehensive oral presentations of investigative findings; gathers intelligence affecting the Department; and serves as liaison to law enforcement agencies.  ",0,, ,2,full-time,,|a position at least at the level of Senior Commercial Field Representative conducting field investigations relative to industrial theft and vandalism or diversion of utility services; or, ,   ,,R, ,OPEN_INT_PROM,103021,-1,2015-10-16
311,SENIOR ARCHITECT 7927 020317.txt,SENIOR ARCHITECT,7927,2,,"  A Senior Architect plans, organizes and directs, or assists in directing, the work of professional and technical employees engaged in providing architectural services for City facilities; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",0,, ,2,full-time,Architect,, ,   ,,P, ,OPEN_INT_PROM,127712,141002,2017-02-03
312,CEMENT FINISHER WORKER 3351 103015.txt,CEMENT FINISHER WORKER,3351,2,,"  A Cement Finisher Worker does semiskilled work in mixing, placing, and finishing concrete surfaces; and may act as lead worker of a small crew.",0,, ,2,full-time,Cement Finisher Cement Finisher Worker,|placing and finishing concrete., ,   ,,R,B,OPEN_INT_PROM,56605,-1,2015-10-30
313,MECHANICAL ENGINEERING DRAFTING TECHNICIAN 7551 121418.txt,MECHANICAL ENGINEERING DRAFTING TECHNICIAN  ,7551,2,,"  A Mechanical Engineering Drafting Technician performs responsible mechanical engineering drafting in the preparation of drawings for a variety of hydroelectric, electric generation stations, water facilities and mechanical equipment and installations.",0,"university, college", ,2,full-time,,|mechanical engineering drafting., ,   ,,P, ,OPEN_INT_PROM,63820,80336,2018-12-14
314,MANAGEMENT AIDE 1508 033117.txt,MANAGEMENT AIDE,1508,2,,"  A Management Aide performs paraprofessional duties in assisting professional, technical, administrative, or personnel staff in the preparation of correspondence, reports, studies, and surveys on a wide variety of administrative, fiscal, budgetary, personnel, and management problems. ",0,, ,3,full-time,Senior Administrative Clerk,, ,   ,,P, ,OPEN_INT_PROM,58746,64780,2017-03-31
315,SENIOR LABOR RELATIONS SPECIALIST 9202 11618.txt,SENIOR LABOR RELATIONS SPECIALIST,9202,2,,"  A Senior Labor Relations Specialist performs complex and sensitive labor relations activities, including negotiating Memoranda of Understanding (MOUs) with unions representing City employees; administering the terms of the MOUs; and preparing analyses, proposals, reports, and correspondence in the field of labor relations; and does related work.",4,"university, college", ,2,full-time,,|n advocate in administrative hearings., ,   ,,P, ,OPEN_INT_PROM,131512,-1,2018-11-16
316,FIREFIGHTER 2112 011918.txt,FIREFIGHTER,2112,3,,"  As members of the Los Angeles Fire Department, a Firefighter's duties include engaging directly in firefighting, emergency medical services requiring assignment to a rescue ambulance, mitigation of hazardous materials emergencies, fire prevention and rescue, and inspections of buildings and properties to ensure compliance with the fire codes.  All Firefighters are required to become Emergency Medical Technicians (EMT) and may be required to become Paramedics.",0,high school, ,0,,,, ,   ,,NoR, ,OPEN,67264,-1,2018-01-19
317,PRINCIPAL ELECTRICAL ENGINEERING DRAFTING TECHNICIAN 7531 090916 TRACK CHANGES.txt,PRINCIPAL ELECTRICAL ENGINEERING DRAFTING TECHNICIAN,7531,0,,"  A Principal Electrical Engineering Drafting Technician plans, organizes, and directs the work of drafting personnel in a major engineering drafting unit engaged in the preparation of electrical engineering drawings and plans for Los Angeles City construction projects; maintains project records; assists in the development and implementation of computer-aided-drafting (CAD), automated drafting program standards, and data management systems storage; manages the retrieval of electronic drawing files; provides drafting-related information relative to proposed work; and defines the job scope as it pertains to drafting work with engineers and contractors. Applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",0,, ,3,full-time,,| Senior Electrical Engineering Drafting Technician| or in a class at that level supervising electrical engineering drafting technicians., ,   ,,NoR, ,OPEN_INT_PROM,99158,-1,2016-09-09
318,INFORMATION SERVICES SPECIALIST 1456 080417 (1).txt,INFORMATION SERVICES SPECIALIST,1456,2,,"  An Information Services Specialist assists in the evaluation, development, maintenance, implementation and modification of host-based, departmental processor, and personal computer operating systems, program product and supporting software; assists in planning and documenting facility and equipment-related activities; coordinates computer equipment installations, removals, modifications, and maintenance; develops host-based computer software or hardware procedures and assists in the analysis and resolution of network and hardware problems; performs analytic monitoring of computer systems in an operations center environment.",0,, ,2,full-time,,|the installation| operation| programming| analysis| design| or data control of hardware or software for small| medium and large-scale computers| in performing simple system user requirements analysis and trouble shooting., ,   ,,P, ,OPEN_INT_PROM,73466,82486,2017-08-04
319,ELECTRIC DISTRIBUTION MECHANIC 3879 040717.txt,ELECTRIC DISTRIBUTION MECHANIC,3879,3,ABCD,"  An entry-level Electric Distribution Mechanic works as a trainee under close supervision of journey-level workers. Trainees receive extensive classroom training as well as on the job training as a cable splicer and as a line mechanic. Electric Distribution Mechanic trainees assist in the construction, maintenance and repair of overhead electric power sub-transmission and distribution lines and equipment; constructs high-voltage distribution pole lines; makes construction changes to existing lines and equipment; repairs power lines and line equipment; repairs and reroutes services; sets poles; installs transformer racks; hangs and installs transformers and switches of various types and sizes; installs overhead street lights and guy wires; makes repairs to energized lines; performs limited line clearance tree trimming; installs watt-hour meters; uses appropriate live line  tools to install and remove approved protective covering on energized distribution and sub-transmission circuits of 7.5kV and above; and climbs poles. Electric Distribution Mechanic trainees assist in the construction, maintenance, and repair of underground electric power, transmission, sub-transmission, and distribution cable work.  Performs work activities in connection with underground cable installation and removal; pulls cables and service lines through sub-structures, vaults, duct lines, up poles and walls, over roofs of buildings and to customers' service panels; performs rigging operations of cable pulling equipment; installs and removes transformers and related equipment in vaults and sub-structures; splices energized and de-energized low-voltage cables, splices high voltage de-energized cables; maintains gas and oil filled cable and equipment; installs watt hour meters; and climbs poles as related to underground work. A journey-level Electrical Distribution Mechanic performs skilled mechanical and electrical work in connection with the construction, maintenance, and repair of energized and/or de-energized overhead and underground electric transmission, subtransmission, distribution, communication, and utilitarian street light lines, cables, and equipment; and may work as lead over a group of skilled craft workers.",0,"college, apprenticeship",|and on high-voltage power poles| transmission towers| and underground electric substructures. Six months experience must be specific to assisting with and/or performing work at voltages of 4.16-kV and above; or|the maintenance or construction of electrical distribution systems while in the United States Armed Forces; or,6,full-time,,|and on high-voltage power poles| transmission towers| and underground electric substructures. Six months experience must be specific to assisting with and/or performing work at voltages of 4.16-kV and above; or|the maintenance or construction of electrical distribution systems while in the United States Armed Forces; or, ,   ,,R,A,OPEN_INT_PROM,85336,-1,2017-04-07
320,UNDERGROUND DISTRIBUTION CONSTRUCTION SUPERVISOR 3814 121418 REV 122718 (1).txt,UNDERGROUND DISTRIBUTION CONSTRUCTION SUPERVISOR,3814,0,,"  An Underground Distribution Construction Supervisor assigns, reviews, and evaluates the work of a group of technical employees engaged in the construction, maintenance, and repair of underground ducts, maintenance holes, and vaults; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",0,, ,3,full-time,Underground Distribution Construction Mechanic,, ,   ,,R, ,OPEN_INT_PROM,113556,-1,2018-12-14
321,CONTRACT ADMINISTRATOR 9168 031017.txt,CONTRACT ADMINISTRATOR ,9168,2,,"  A Contract Administrator supervises professional employees engaged in the development, negotiation, preparation, and enforcement of contracts for the design and construction of municipal recreational facilities and public improvement projects for the City of Los Angeles; applies sound supervisory principles and training techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities. ",0,"university, college", ,2,full-time,,, ,   ,,R, ,OPEN_INT_PROM,126470,-1,2017-03-10
322,PARK SERVICES ATTENDANT 2412 032219.txt,PARK SERVICES ATTENDANT,2412,1,,"  A Park Services Attendant serves the public at, or operates, amusement, tennis reservation, lodge, auditorium, information booth or service facilities at City parks or recreational areas; or supervises such work in a lead capacity.",0,, ,0,,,, ,   ,,P, ,OPEN,37730,-1,2019-03-22
323,EMERGENCY MANAGEMENT COORDINATOR 1702 102618.txt,EMERGENCY MANAGEMENT COORDINATOR,1702,3,,"  An Emergency Management Coordinator is responsible for developing, coordinating, implementing, and administering comprehensive emergency management programs including disaster preparedness, response, recovery, and mitigation Citywide or for individual City departments, including developing and maintaining emergency response and continuity of operations plans, standard operating procedures, and related training programs, exercises and drills; performs community education and outreach programs on disaster preparedness and planning; works with other City departments, governmental and private agencies, and community based organizations to develop and implement emergency management programs for the City of Los Angeles; analyzes and prepares comprehensive reports, research, recommendations, and correspondence for their assigned department or other administrative bodies as directed; may be assigned emergency response roles in various locations; and may supervise other Emergency Management Coordinators, City employees in other classifications, and/or volunteers involved in emergency management work. ",0,"university, college"," emergency management, homeland security, or public health may be substituted for a maximum of one year of the required experience.",4,full-time,,, ,   ,,R, ,OPEN_INT_PROM,101904,109588,2018-10-26
324,PLANNING ASSISTANT 7939 071417 REV 072617 (1).txt,PLANNING ASSISTANT,7939,2,,"  A Planning Assistant does professional city planning work in long-range and policy planning, including citywide, community, and neighborhood planning; and project planning, including review, analysis, and clearance of land use proposals, development projects, and site plans. A Planning Assistant may have specialized expertise in historic preservation, environmental analysis, and/or zoning review and compliance.",4,"university, college"," urban planning, urban studies, urban design, architecture, landscape architecture, geography, public administration, political science, environmental science, social ecology, economics, transportation planning, or historic preservation",4,full-time,Planning Aide,, ,   ,,P, ,OPEN,75920,-1,2017-07-14
325,ELECTRICAL TESTER 7512 102816.txt,ELECTRICAL TESTER   ,7512,5,,"  An entry-level Electrical Tester receives intensive classroom and on-the-job instruction and training. The trainee is supervised by a Senior Electrical Tester and works as a trainee assisting journey-level electrical workers within the Testing Laboratories in the performance of diagnostic tests, calibration, repair, maintenance, and adjustments on: high and low voltage electrical circuits, equipment and related material; meters, smart-grid systems, conventional and renewable generation resources, control circuits, instruments, relays and related equipment and materials; new locations; and performs related duties. A journey-level Electrical Tester: performs routine calibration tests of meters; makes routine electrical tests of material; assists in testing more complex electric instruments and equipment; tests and replaces electric meters, control and protective relays, instruments, transformers, and other equipment and materials; performs cathodic protection in underground and abovehead structures; performs infrared inspection of high voltage overhead distribution systems; and builds and test circuit boards, removes or replaces components, and tests communication levels, in regard to facility/substation Supervisory Control and Data Acquisition (SCADA) systems, Remote Terminal Units (RTU), and other control systems. Journey-level Electrical Testers may also: lead a group of employees engaged in field or laboratory electrical testing; perform the more difficult and advanced functions of electrical testing; and perform related duties. ",0,"university, college", ,6,full-time,,| helper or trainee for a utility performing work on equipment and circuits| construction and maintenance; or|the maintenance or construction of electrical systems while in the United States Armed Forces., ,   ,,R, ,DEPT_PROM,60624,-1,2016-10-28
